"ff6382d","Mickael Moreau","2018-12-14 21:11:39 +0100","In progress"
"dd855be","Mickael Moreau","2018-12-14 19:32:02 +0100","Improving box reader design"
"31ea8a8","Mickael Moreau","2018-12-14 17:14:21 +0100","Improving connection between Backend and PWA"
"ce55f09","Mickael Moreau","2018-12-14 11:47:11 +0100","Improving integration of Php Knowledge from MoonShop by © Monwoo"
"3ab0469","Mickael Moreau","2018-12-14 08:00:31 +0100","Improving backend by importing Php Knowledge from MoonShop by © Monwoo"
"112d5e2","Mickael Moreau","2018-12-13 19:30:45 +0100","Improving PWA connection to Backend"
"b431d0c","Mickael Moreau","2018-12-13 19:10:14 +0100","Improving PWA connection to Backend"
"7111c6e","Mickael Moreau","2018-12-13 16:48:55 +0100","Improving PWA connection to Backend"
"95d79bd","Mickael Moreau","2018-12-13 14:06:54 +0100","Improving PWA connection to Backend"
"bd134da","Mickael Moreau","2018-12-13 12:19:15 +0100","Improving Silex Backend"
"39321eb","Mickael Moreau","2018-12-13 09:58:29 +0100","Connecting Silex Backend to PWA Frontend"
"02be156","Mickael Moreau","2018-12-13 07:39:09 +0100","Adding Silex Backend for Production backup to allow emails Centralisation with PHP Backend"
"5f4524a","Mickael Moreau","2018-12-11 14:11:49 +0100","Trying to integrate emailjs. Still some permission issue (or more), only runable in SSL and Prod servers ?"
"a392b46","Mickael Moreau","2018-12-11 13:58:57 +0100","Trying to integrate emailjs. Ok for code loading, error on missing raw-socked. Was bad to import tls and net ?"
"7f1ce17","Mickael Moreau","2018-12-11 12:44:03 +0100","Trying to integrate emailjs. Still some issue when running code..."
"cd0d781","Mickael Moreau","2018-12-11 11:15:46 +0100","Adding MoonBox BoxReader and Parameters components"
"d5c885c","Mickael Moreau","2018-12-11 10:20:52 +0100","Adding routings + header/footer"
"86b60e7","Mickael Moreau","2018-12-11 08:41:53 +0100","Ajusting assets and dependencies"
"8829520","Mickael Moreau","2018-12-11 06:32:20 +0100","Adding MoonBox Logo by Miguel Monwoo, © Monwoo 2018"
"b0ad9b4","Mickael Moreau","2018-12-10 14:09:40 +0100","Creating MoonBox From MoonManager v1.0.4-HumanlyTested"
